county,geometry
Androscoggin,Point(-70.198 44.187)
Aroostook,Point(-68.412 46.574)
Cumberland,Point(-70.268 43.874)
Franklin,Point(-70.449 44.980)
Hancock,Point(-68.402 44.614)
Kennebec,Point(-69.753 44.415)
Knox,Point(-69.135 44.101)
Lincoln,Point(-69.518 44.078)
Oxford,Point(-70.734 44.426)
Penobscot,Point(-68.575 45.354)
Piscataquis,Point(-69.473 45.621)
Sagadahoc,Point(-69.807 43.936)
Somerset,Point(-69.921 45.392)
Waldo,Point(-69.221 44.545)
Washington,Point(-67.759 44.976)
York,Point(-70.757 43.471)