Given_ID,Presumed_ID
(pear) b. de anjou,
(pear) duchess d' angouleme,
(pear) noyes,
danvers sweet,danvers winter sweet
fall harvey,fall harvey
farnes,
graton pippin,
high top sweet,hightop sweet
holman's russet,holman's russet
honey pink,
janettion,fall jennetting
jilly flower,black gilliflower
lemon apple,
maiden's blush,maiden's blush
moody,
peck's pleasant,peck's pleasant
peleg,
pound sweeting,lyman's pumpkin sweet
queens' pocket piece,
sarah,sarah
sengrianna,
snow apple,
sponge russet,sponge russet
swan apple,
vermont sweeting,
washington pippin,
watermelon,
winter harvey,
red detroit,detroit red
(pear) bell l.,
bellefleur,
caliph,
christmas sweet,
fall jennett,
falla water,
henrietta sweet,
hubbardston none such,
native greening,
new york stark,
plain jennette,
sheeps nose,
w. greening,
white giant,
york sweet,
(pear) duchesse,
eaton sweet,
genetting,
marblehead,
sponge russett,
black apple,
canada porter,
duchess of odenburg,
fall hubbardston,
gillyflower,
tolman sweeting,
king,king of tompkins
hawthornden,
nine oz.,
yellow belleflower,
davis,
emperor,
mammoth,
sweet brier,
color quince,cole's quince
elizabeth,
esvalt,
townsend,
american golden russet,
dian,
manchester strawberry,
vandevere,
(pear) hardy,
crow sweet,
daldenburg,
dodd,
english,
golden crab,
hardy sweet,
holman russet,
jenny swett,
mellen sweet,
monson's sweet,
mother of pearl,
pomme gess,
rings sweet,
river,
sarah,
tetopsky,
twelve oz.,
westfish seek no further,
winter red sweet,
wood sweet,
york russet,
boardman,
sweetburg,
beane,deane
(pear) burbank,
mclellan,
adeline,
fall jenettan,
american russet,bullock
canada greening,
clyde beauty,
harvey sweet,
keeper,
nickajack,
phonix,
pomme gris,
rowle's janet,
spring sweet,
winter crop,
(pear) duchess de angouleme,
cathead sweet,
early harvey,
genetin,
bottle,bottle greening
brackett,
coburn sweet,
peawakee,
spitzenbury,
(pear) howell winter,
bottle greening,
persian crab,
rose of stomstead,
zylphia,
hart's,
pomeroy,
sopsavine,
sutton's beauty,
belle n. franklin,
cole quince,
marde maidens blush,
n. y. nameless,
snowflake,
magog red streak,
rose of standish,
(pear) anjon,
golden russett,
golden beauty,
transcendent,
american pippin,
bailey's sweet,
bumpus,
n. y. harvey,
r. i greening,
striped harvey,
williams,
(pear) seckle,
bicknell,
sware,swaar
king,tompkins county king
maidens blush,maiden blush
spec pheasant,peck's pleasant
crown apple,
fallwater,fallawater
leafless greening,
peanwam,
peewanskee,pewaukee
red unknown,
spitzenburg,esopus spitzenburg
belle flower,yellow bellflower
kalm hill,killum hill
brooks favorite,
king tompkins,tompkins county king
southern darkey,arkansas black
kilmhill,killum hill
wine,wine
bell flower,yellow bellflower
deceiver,
nonesuch,hubbardston
belleflower,yellow bellflower
mackintosh red,mcintosh red
mann apple,mann
pound sweeting,pound sweet
spy,northern spy
falley water,fallawater
high top sweeting,hightop sweet
honey pink,honey pink
jacksons best,
jordan sweet,
kellum hill,kilham hill
n. y. sweet,
queen sweet,
rock sweet,
spice apple,
yellow siberian crab,
fall orange,fall orange
baker sweet,baker sweet
gen. grant,general grant crab
genetin,fall jennetting
kennebec greening,
talmon sweet,
whittier sweet,
pin ball,
twenty ounce greening,
banana russet,banana russet
dudley's winter,dudley winter
union russet,
cranberry pippin,cranberry pippin
oxford,
pride of the orchard,
strawberry porter,
winchester greening,winthrop greening
(pear) de angean,
(pear) dampe,
german red,
york pippin,
barmer sweet,banana sweet
orange apple,
ponds sweet,
(pear) beau ambjean,
bitter sweet,
northern bell,
red biddemere,
banana sweet,
black baldwin,black baldwin
arkansas black,arkansas black
arkansas red,arkansas
daily sweet,
water core,
(pear) de anjou,
lake,
peach blossom,
snowball,
winter mcintosh,
(pear) beangrau,
fall sweet russet,
imperial,
purple blush crab,
stayman winesap,
(pear) bran jean,
(pear) orandaga,
long field,
n. w. greening,
sweet chestnut,
genting,
golden transparent,
ontario,
(pear) florence,
(pear) hobbs favorite,
(pear) our favorite,
(pear) vicar,
cortland,
golden delicious,
hobbs' best crab,
lyscomb,
pinball sweet,
summer sweet russet,
winter sweet russet,
eatsom,
huston pippin,
peter pan,
sugar sweet,
(pear) be-an-jean,
(pear) beurre bass,
(pear) victor,
danyon,
french crab,
star porter,
(pear) clajeris favorite,
big ben,
early mcintosh,
kaneas red,arkansas red
(pear) buerre charrgean,
(pear) buerrer base,
(pear) dutchess de angulene,
red delicious,
(pear) garber,
maine harvest,
late mcintosh,
plain russet,
russet (green),
stark delicious,
iron ball,
oliver sentinal,
bartlett sweet,
boyd baldwin,
killum hill,
marling russet,
seeks,
stubb seedling,
cayuga red streak,
ransom,
autumn sweet,
bell apple,
black russett,
blue pear,
blue pearmaine,
chase apple,
colcord sweet,
corner apple,
creased apple,
cuthburt,
golden russett quince,
hacked apple,
haynes sweet,
juneating,
mathews stripe,
mealy apple,
old sour apple,
porter apple,
red pearmaine,
stone sweet,
strawberry apple,
sweet russett,
bare limb greening,
king of tompkins county,tompkins county king
wine apple,wine
geenating,fall genneting
hass,haas
killhain hill,
n. y. blush,
stubbs seedling,
swar,swaar
excelsior crab,
littlefield beauty,
somersert,
worcester russet,
baxter,baxter
maine,mann
north star,dudley winter
(pear) french pear,
(pear) sickel,
(pear) st. gesilaine,
benjamin,
eldorado russet,
franklin sweeting (red),
franklin sweeting (striped),
frye apple,frye
h. top sweet,high top sweet
kellum hill,killum hill
lymington (striped),
n. y. sweeting,
sibicum,
(pear) winter bell,
yellow pearmaine,
queen sweeting,
r. i. sweeting,
franklin sweeting,
cathead sweeting,
mild sour,
brunswick pippin,
royal pearmain,
n. t. greening,
twenty ounce n. y. pippin,
washington greening,
thompkin king,
north west greening,
jelley flower,
ponard sweet,
duchess oldenburg,
genniting,
wheatloaf,
savoy,
blake,
new gloucester ball,
twentyâ€”ounce,
fallowater,
grime's golden,
lawrence,st. lawrence
golden bell,
graveline,
hubbardston's nonesuch,
st. lawarence,
striped fameuse,
yellow bellfleur,
magog,
cluster crab,
maine greening,
favorite,
strawberry baldwin,
transendent,
holland pippin,
pumpkin,pumpkin russet
seek no further,westfield
garden rosy,garden royal
none-such,hubbardston
(pear) anglo,
(pear) duchess,(pear) duchesse d'angouleme
(pear) duchess angouleme,
(pear) duchesse de bordeaux,
fall jannetting,
gilley flower,
hautboy,
hubbardstons nonesuch,hubbardston nonesuch
hyssop crab,hyslop crab
kerwicks codlin,keswick codlin
maiden's blush,maidens blush
mammoth pippin,
mellon apple,melon
randall sweet,
rauber,
canada stripe,
farmease,fameuse
fullawater,fallawater
gennett,
blue pear main,blue pearmain
eleren pippin,
good minister,minister
holly water,
pewankee,pewaukee
(pear) beurre dill,
basket apple,
mcintosh,mcintosh
(pear) beauty flemish,
tomkin,king of tompkins county
william,william's favorite
white pippin,
nodheaad,
gillflower,
riverstone,
calef,
danvers,
green baldwin,
morton,
ocean,
pipin,
portsmouth sweet,
red baldwin,
seaver,
sudbury sweet,
winn,
bluepearmain,
foundling,
steel red,
wheat loaves,
king tompkin,
(pear) vicar of winckfield,
h. nonesuch,
black gilly flower,
buck,
hamilton graft,
newton sweet,
steele's winter red,
emerson,
(pear) burred' anjou,
(pear) brandywine,
(pear) dana's hovey,
(pear) louise bon de jersey,
(pear) rutta,
(pear) shendon,
(pear) tyson,
baker's sweet,
bloomfield's long stem sweet,
duchess oldenberg,
flushing spitsbergen,
franeuse,
yellow bell flower,
(pear) belle of lancaster,
(pear) beurre clarigeau,
(pear) doyenne boussock,
(pear) goodell,
germantown,
peck,
graveston,
rockingham stripe,
gill flower,
beauty of the west,
early blossom,
nice,
nod-head,
solcen bell,golden ball
spitz bergen,
well apple,
white russet,
(pear) beaurre d'anjou,
(pear) duchess of berdsay,
(pear) winter nellis,
chute,
ingalls,
jabe,
long stem sweet,
yellow bough,
houdan,
wine sops,
black fall,
black winter,
jersey crab,
n. y. crab,
basket sweet,
naples crab,
pine grove sweeting,
stiles,
white pearmain,
beauty of west,
(pear) duchess of bordeaux,
lee,
roxbury sweet,
state of maine,
twenty-ounce stripe,
woodpecker,
(pear) bonney de jersey,
(pear) duchess de angouline,
(pear) st. michells,
clie's beauty,
fall jeanetting,
improved pumpkin sweet,
mocher,
n. y. stripe,
phil. stripe,
ramsdell sweet,
winter bough,
(pear) bouey de jersey,
(pear) duchess de argouline,
(pear) tyron,
baker sweet,
booad,
dutch coudle,
fullman sweet,
jackson sweet,
late strawberry,
marshal,
monstoon,
orange pearmain,
packer,
patterson sweet,
peawaukee,
pittsfield,
r. i. sweet,
riverside pippin,
russet baldwin,
touch me not,
monster pippin,
perfect,
(pear) knowlton,
(pear) packard,
(pear) summer pear,
(pear) winter seneca,
ben dares,ben davis
geneva pippin,
hay boy,
pound,
plum crab,
tompkin,
n y stripe,
phila broad,pennock
r i greening,
purple winter,
snow flake,
sunflower,
canada,
fitchburg,
genettie,fall jenneting
golden flower,
terston russet,
fall russett,
winter russett,
falawater,
peawalkie,
milton,
red gold,
red rome,
arkansas red,
danvers sweet,
munson's sweet,
peewuakee,
philadelphia broad,pennock
red mcintosh,
russett sweet,
staymans winesap,
steel red,red canada
(pear) sycle,
(pear) vermont beauty,
cook's sweet,
golden porter,
nowest greening,
pound russet,
re par main,
steymens winesap,
storks,stark
gilflower,
(pear) anjou,
brown sweet,
fall janet,
farmeuse,
sheepnose,
wilson red june,
cornish greening,
red spy,
welch sweeting,
(pear) belle et bonne,
(pear) bergamont sylvange,
(pear) bonchreteen fondante,
(pear) buerre d'amanlis,
(pear) buerre d'aremburg,
(pear) capuamount,
(pear) dunmore,
(pear) julienne,
(pear) paradise d'autumn,
(pear) pound,
(pear) soldat laboreur,
(pear) urbaniste,
(pear) white doyenne,
beef-steak,
broadwell,
long graft,
quince apple,
shapleigh apple,
(pear) chelmsford,
killham hill,
york russeting,
boston sweet,
(pear) beurre clargeau,
phila. pearmain,
(pear) perry's seedling,
none other,
(pear) louisa,
(pear) napolean,
monster apple,
vail baker,
roxbury greening,
fall jenning,
cobert,
pewaka,
man,mann
wheatley,wealthy
dwarf baldwin,
peck's favorite,
black oxofrd,
forbes favorite,
herrman's favorite,
hislop crab,
purple crab,
honey,
roxby russett,
winesop,
blue pearmaine,blue pearmain
champion,
farmer's,
high sweet,hightop sweet
barret greening,
kingston russet,
warren greening,
black ben,
(pear) eastern bell,
scarlet crab,
mackintosh,
parlin,
summer sweeting,
wealthty,
bee stings,
clark's favorite,
connecticut greening,
fall sweeting,
jeannette,
loamice,
native bellflower,
no-name sweet,
orange porter,
rock baldwin,
soamid,
striped russet,
barley sweet,
farmer's beauty,
germaine,
potter sweet,
sweet pippin,
(pear) kuffer,
bottle green,
french sweet,
rhode island russet,
cummings,
page,
two ounce,
old-fashioned baldwin,
queen ann,
blue pear maine,
belle flower,
fall genetting,
oldenburg,
cavanaugh,
madison strawberry,
n. j. sweet,
rush,
smith's cider,
sunset,
grimace,
mcclellan,
sweeting,
waldridge,
(pear) keiffer,(pear) keiffer
genneting,fall jenneting
mackintosh greening,mcintosh
rock russet,roxbury russet
parlin,parlin
holman sweet,tolman sweet
canes,gano
fall harvey greening,
sorrett,russett
roxbury,
thompkins,
yellow bellefleur,
roughskin,
n. spy,
blue pairmain,
chase's jelly crab,
culvert,
(pear) wonder sickel,
striped strawberry,
(pear) bonne d'jersey,
buck sweet,
bullard sweet,
"e, russett",
harvey apple,
n. j. pippin,
rhode island greenings,
sops-of-wine,
sub acid,
victoria,
white crab,
york sweeting,
long stem sweeting,baker sweet
true's beauty,
twin apple,
white loaf,
california,
duchess of oldenberg,
gurnthay,
moor's river russet,
orange spick,
roxbury ruperts,
sweet sixteen,
wagner greening,
savage,
orange speck,
golden duchess,
winesaps,
(pear) kiffer,
(pear) donne bussock,
acme,
basin sweet,
caleph sweet,
centini,
cranberry pippin,
cuthbert,
dean,
fisher,
houston,
main,
marston,
monson sweet,
no name,
parker sweet,
pound sweeting,
rhoda sweet,
seek-no-farther,
sherwood favorite,
sutton,
loring sweet,
red and black,
(pear) clairgeau,
freemont,
new york pride,
(pear) beurre d. tryon,
(pear) frederick clapp,
lovage,
peabody greening,
puppy noses,
robinson graft,
ross,
thatcher,
winter genitan,
chestnut,
none-so-good,
peneaukee,pewaukee
red granada,red canada
blemans orange,blenheim orange
jonathan,jonathan
bloomfield porter,
transcendant crab,
white winter sweet,
red and yellow harvey,
craig's pearmain,
beauty kent,
grimes,
macintosh,
red stark,
starks delicious,
tallam sweets,
bismark,bismark
black ben,black ben davis
delicious,red delicious
fremont,
genatin,
joshua sweet,
mcintosh,mcintosh red
perfect,perfect
tolman,tolman sweet
wilding,milden
fall genneting,
hubbardson nonsuch,
jilliflower,
newark pippin,
orange crab,
wine of corea,
hawthawden,
detroit,
doctor brooks,
jersey pippin,
maxim seedling,
new jersey pippin,
porter sweet,
sassafras sweet,
scotch sweet,
spice sweet,
pike sweet,
sherwood's favorite,
(pear) edmond's autumn,
farmer's apple,
orange spy,
early williams,
red harvey,
(pear) mount vernon,
grand sachem,
king william,
(pear) doynne bosworth,
(pear) onondago,
early russet,
ransacking,
(pear) belle sue,
golden royal,
(pear) assumption,
(pear) beureayor,
(pear) tyler,
(pear) benson's superfine,
(pear) keeper,(pear) keiffer
bally's sweet,
brown's best,
mansons sweet,munson sweet
(pear) fredric clapp,
abe lincoln,
late astrachan,
quaker beauty,
translucent crab,
(pear) beurre rose,
(pear) n e beauty,
jacob's sweet,
red betenhimer,
york imp.,
betenheines,
paradise sweet,
pome royal,
(pear) president durward,
canada peach,
red brittenhanna,
(pear) president duma,
boiken,
early bough,
faus apple,
joe sweet,
perkins sweet,
something,
starkee,starkey
(pear) president breonard,
camper's market,cooper's market
red transparent crab,
tetanakee,tetofsky
(pear) doyen white,
(pear) duchess de beaux,
(pear) grand isle,
(pear) honey sweet,
(pear) rutter,
(pear) seedling bartlett,
beauty of sweden,
feares,
wolfbridge,walbridge
(pear) madaline,
august greening,
bitinhammer,
falmouth pippin,
hurlbert stripe,
jackson greening,
king edward,
king philip sweet,
queen's choice,
spice russet,
(pear) adelaide,
(pear) lawson,
gibson sweet,
jack sweet,
melon,
mt. sweet,
pefect,
red beitgheimer,
shiawassee beauty,
shropshirevine,
silver crest,
(pear) dutchess dwarf,
beateamer,
black sweet,blake sweet
cayuca red,
dominie,
early transparent,yellow transparent
mt. greening,
red flamingo,
steele red,
swansee beauty,
washington strawberry,
wismer's dessert,
nolon apple,
oregon sweet,
red reitingheimer,
blake sweet,
la rue,
(pear) winter bartlett,
red breligheimer,
nelson,
parson's sweet,
(pear) dorset,
(pear) manings elizabeth,
veromi,
(pear) unnamed,
black,black oxford
grimes golden pippin,grimes golden
patent baldwin,
r. i greening,rhode island greening
wolfe river,wolf river
northwest greening,northwest greening
peewaukee,pewaukee
snow apple,fameuse
(pear) lewis bon de jersey,
(pear) morcean,
(pear) urbanist,
smith's favorite,
spice sweeting,
gott apple,
cananda red,
flanders favorite,
gang,gano
arctic baldwin,
colooct,
famouse,
gravenstine,
fesset,
janetting,
catskill,
kennebec,
ladies' sweet,
national ash,
ounce pippin,
remsfield,
sawyer sweet,
wannofsky,
white ash,
whitelip,
(pear) b. d. anjou,
(pear) burre hardy,
(pear) duchess d'anglorinne,
(pear) louise bonne d'jersey,
beehive,
myrick,
williams' favorite,
cranberry,
danvers winter sweet,
dollar apple,
killernhill,
iron clad greening,
canadian red,
pear maine sweet,
pewauke,
pommie gris,
prince of the kitchen,
rockwood,
shiewassia beauty,
tompkins kings,
bellefluer,
grimes' golden,
native sweet,
mammoth sweet,
ladies' sweeting,
ram's horns,
rhode island sweet,
quince sweeting,
sponge sweet,
washington apple,
harvest queen,
monmoth pippin,
canadian baldwin,
pond sweeting,
(pear) buffam,
garden graft,
ramdell's sweet,
spicy red,
theobold sweet,
washington baldwin,
(pear) clapps,
beet apple,
high-top sweet,
pear apple,
rawler's jenet,
white winter,
(pear) woodbury,
blue mountain,
boston red,
peach tomato,
tomato crab,
sweet chester,
(pear) nelly sye,
(pear) pear sye,
forest favorite,
(pear) winter niles,
rombeau,
mary's apple,
oxford russet,
langfield,
rainbow,
walker beauty,
(pear) california,
(pear) georgia,
jeanetting,
thomas sweet,
gance,
wallflower,
cinch greening,
rolph,
northwestern,
rewarikee,
(pear) edgecomb favorite,
(pear) wilkin's beauty,
hubbardsten,hubbardston
nod head,jewett's fine red
pearmains,blue pearmain
blue oxford,
macintosh red,
(pear) passe colmar,
smith sweet,
(pear) beurre soldat,
fairbanks,
fairbanks sweet,
famous blue,
hoyt sweet,
red pumpkin,
stoughton russet,
winter pearmain,
woodcock,
(pear) vica of wakefield,
corn field apples,
red porter,
rox russet,
theabald,
october sweet,
glori mundi,
sledge sweeting,
(pear) beurre bosc,(pear) buerre bosc
(pear) buerre hardy,
blue paumaid,
(pear) dutchess,
(pear) favorite,
austin sweet,
poughkeepsie,
(pear) doyenne bosc,
(pear) souvenir du congress,
(pear) winter nellie,
beef steak,
columbus,
cowel,
gile flower,
judy sweet,
kellomell,
pumpkin sweeting,
ridge beauty,
schoolhouse,
striped bellflower,
baldwin canada,
governor,
strawberry sweet,
victuals and drink,
(pear) buerre clairgeau,
(pear) corvenere de aneress,
(pear) worden seckel,
rave ripe,
(pear) berewe rose,
(pear) buerre arigon,(pear) buerre d'anjou
(pear) buerre d'anjou,
california belleflower,
delaware,
gordon russet,
jelly apple,
newbury sweet,
thomson sweet,
washington,
(pear) souvenir decongress,
(pear) beurre d'augin,(pear) beurre d'anjou
rex regent,roxbury russet
twenty oz.,
dano,gano
gans,gano
boston apple,
falmouth sweet,
kings pocket,
barker red,
children's choice,
early printon,
lady suffield,
uncle thomas,
early sour,
gillieflower,
hoyt,
summer graft,
english oxford,
black gilliflower,
burbank beauty,
garden beauty,
pr. l. greening,
troop favorite,
twenty ounce sweet,
western apple,
rhode island quincy,
clark sweet,
benorie,benoni
hubbardston's nonesuch,hubbardston nonesuch
jewett's fine red,jewett's fine red
rox. russet,
(pear) buru d. anjou,
(pear) duchess dongleme,
(pear) steven jennesel,
september sweet,
banana apple,
hunt russett,
harvard,
talman's sweet,
cummings greening,
pinnate,
king of franklin co.,
prime,
russell,
red sanad,red canada
winthrop favorite,
mellen's favorite,
sweet bangle,
jelliflower,
sour crab,
gance,gano
ramba,rambo
(pear) beune d'anjire,
early sweet bough,
exalder,alexander
pride of maine,
red dutch,
guiner golden,
early autumn,
maine standard,
rusill,
(pear) bare basque,
(pear) stevens' genessee,
early august,
hallowell pippin,
king of dilliam,
lancaster,
russet permaine,
twigged greening,
auburn sweet,
early augusta,
massachusetts porter,
spitzberg,
benorie,
gardner sweet,
n. y. porter,
(pear) banfee,
(pear) shekal,
maine northern spy,
sweet glory nunde,gloria mundi of maine
horther,mother
stork,stark
prywate,
nature,
new york nodhead,
stray beauty,strawberry
winter wagner,
moore's seedling,
sops of wine,sops of wine
montreal peach,peach of montreal
peabody early,
peach apple,peach of montreal
pomagree,pomme gris
yellow bell flower,yellow bellflower
allen,
drap d'or,drap d'or
early russian,
gideon,gideon
hayford's sweet,hayford sweet
lead apple,
longfield,longfield
mallet,
monroe sweet,
romna,
royal table,
russian iron-clad no. 4,
spaulding,
striped winter,
trenhausen,
bloom,bloom
early scarlet,early scarlet
early winter,
grimes' golden,grimes golden
hayford's sour,
late winter,
nonsuch,hubbardston nonesuch
northfield beauty,
peabody's sweet,
peewankee,pewaukee
points,
russian no. 27 m.,
volkie,
white astrachan,
pearl,
smith's fameuse seedling,
smith's sweet,
ladies' sweet,ladies sweet
new brunswick greening,
araboskoe,arabaskoe
penankee,pewaukee
willow belflower,yellow bellflower
quebec sweet,quebec winter sweet
total,
dudley winter,dudley winter
french dwarf,
kavanagh,kavanagh russet
duchesse de ogdensburg,duchess of oldenburg
high top sweet,high top sweet
lincoln pippin,winthrop greening
nonesuch,hubbardston nonesuch or red canada
(pear) bell lucrative,(pear) belle lucrative
(pear) beurre diel,(pear) beurre diel
(pear) doyenne d'ete,
(pear) fulton,(pear) fulton
(pear) st. ghislain,
clark,clark
connecticut winter sweet,
dwarf,
eve's,
golden orb,golden ball
gray russet,pomme gris
hubbard,hubbardston nonesuch
new york pippins,
pippins,
rebson pippin,ribston pippin
red williams,williams favorite
walpole ledgings,
winter bell-flower,
(pear) beau ideal,
chamberlain,
franklin,
gardner,
gillaflower,black gilliflower
hunter,
little nonesuch,
wagner,wagner
howe,
american beauty,american beauty
cayuga red stripe,twenty ounce
cooper market,cooper market
fall genneting,"fall genneting, fall jeanette"
gilford sweet,
harvest greenings,fall harvey
house,
nancy,
native russet,
pumpkin sour,
red beauty,
siberian august,
smyth's cider,
susan,
winn russet,winn russet
(pear) clapp's favorite,(pear) clapp's favorite
chenango strawberry,chenango strawberry
vaughn,
warren russet,roxbury russet
early jenneting,
long john,
slinton,
(pear) de anjou,(pear) beurre d'anjou
(pear) indian queen,(pear) indian queen
gum golden,
pewakee,pewaukee
seek no further,westfield seek no further
harvest sweet,
n. y. apple,
wax,
kavanah russet,
box russet,roxbury russet
twenty ounce pippin,twenty ounce
congress,congress
english sweet,ramsdell sweet
granit beauty,granite beauty
kavanah russett,kavanagh russet
kenwick codlin,keswick codling
swoon,
(pear) vicar,(pear) vicar of winkfield
queens choice,
english graft,
male carle,
ribbston pippin,ribston pippin
zeal apple,
(pear) beurre d'amalis,
(pear) easter beune,
(pear) rostiezer,
ballister,
early roxbury daggett,
golden pearmain,
hightop sweeting,
lady haley,
lincoln sweet,
long stem,
mammoth greening,
red shropshrivine,
sapson,
superb sweet,
superb winter sweet,
sweet fall,
watertown sweet,
white juneating,
(pear) hardy,(pear) beurre hardy
spitzenberg,esopus spitzenburg
clarke,
duchess oldensburg,
hyssop crab,
jumbo,
winter jeunette,
yellow siberian,
twenty ounce,twenty ounce pippin
prolific sweet,
millwig,milden
mammy sweet,
(pear) beurre claugean,(pear) beurre clairgeau
(pear) beurre de anjou,
m. beauty crab,
st. johnsbury sweet,
r. i. gravenstein,rhode island greening
red russet,red russet
early favorite,
genneting,
knowlton sweet,
benonah,benoni
gen ex,
holly,holly
king david,king david
konkin red stripe,
m. w. greening,northwest greening
no. star,dudley winter
pewawkee,pewaukee
rome beauty,rome beauty
melden,
banna,
genetian,
gloria mundy,
